model_family,tau,nonlinear_layers,hidden_dim,alpha,lambda,validation_loss
dnn,0.95,2,2,1.0,0.1,0.03133535660399746
dnn,0.95,2,2,1.0,1.0,0.020261830238004538
dnn,0.95,2,2,1.0,10.0,0.020220555704087036
dnn,0.95,2,4,0.0,0.1,0.03475208541750909
dnn,0.95,2,4,0.0,1.0,0.020305590217312194
dnn,0.95,2,4,0.0,10.0,0.020220855515450255
dnn,0.95,2,4,0.5,0.1,0.03599552751580874
dnn,0.95,2,4,0.5,1.0,0.020259728621691488
dnn,0.95,2,4,0.5,10.0,0.02022086147591473
dnn,0.95,2,4,1.0,0.1,0.02939111449740207
dnn,0.95,2,4,1.0,1.0,0.027299409329270337
dnn,0.95,2,4,1.0,10.0,0.020216695018112674
dnn,0.95,2,8,0.0,0.1,0.04125056434950484
dnn,0.95,2,8,0.0,1.0,0.020269551100830247
dnn,0.95,2,8,0.0,10.0,0.0201869031575819
dnn,0.95,2,8,0.5,0.1,0.03691496286758533
dnn,0.95,2,8,0.5,1.0,0.020256697079787663
dnn,0.95,2,8,0.5,10.0,0.020190696626901643
dnn,0.95,2,8,1.0,0.1,0.02965758522258451
dnn,0.95,2,8,1.0,1.0,0.025009762428080055
dnn,0.95,2,8,1.0,10.0,0.02022086073085667
