model_family,tau,nonlinear_layers,hidden_dim,alpha,lambda,validation_loss
linear_activation,0.05,2,8,1.0,2.221007363126434,0.018120380369325475
linear_activation,0.05,2,8,1.0,2.4553495704394916,0.018046174859007204
linear_activation,0.05,2,8,1.0,2.7144176165949077,0.018049339462071656
linear_activation,0.05,2,8,1.0,3.000820366267417,0.01804933944965402
linear_activation,0.05,2,8,1.0,3.3174419498137175,0.01800979181751609
linear_activation,0.05,2,8,1.0,3.667470807015676,0.01804617491488656
linear_activation,0.05,2,8,1.0,4.0544317952775275,0.017983477037400008
linear_activation,0.05,2,8,1.0,4.482221685612751,0.01804933943102757
linear_activation,0.05,2,8,1.0,4.955148403871969,0.018086623191833504
linear_activation,0.05,2,8,1.0,5.477974412378556,0.018120380369325475
linear_activation,0.05,2,8,1.0,6.055964668833263,0.01804617491488656
linear_activation,0.05,2,8,1.0,6.69493964544323,0.018120380369325475
linear_activation,0.05,2,8,1.0,7.4013339421880975,0.018086623191833504
linear_activation,0.05,2,8,1.0,8.182261084470007,0.01804933942481875
linear_activation,0.05,2,8,1.0,9.045585157672232,0.01804617491488656
linear_activation,0.05,2,8,1.0,10.000000000000002,0.018026394058018928
linear_activation,0.1,0,0,1.0,0.2,0.09894933154682319
linear_activation,0.1,0,0,1.0,0.22110233502181484,0.08275305515651901
linear_activation,0.1,0,0,1.0,0.24443121276049423,0.09230758696049454
linear_activation,0.1,0,0,1.0,0.27022155946779647,0.09648717341820401
linear_activation,0.1,0,0,1.0,0.29873308885782995,0.08774944105992714
linear_activation,0.1,0,0,1.0,0.33025291747372754,0.0847970292828977
linear_activation,0.1,0,0,1.0,0.36509845600603935,0.09674323751156531
linear_activation,0.1,0,0,1.0,0.4036206056789731,0.09598954368879396
linear_activation,0.1,0,0,1.0,0.44620729189270064,0.07654786669835448
linear_activation,0.1,0,0,1.0,0.4932873707061831,0.08798471831902863
linear_activation,0.1,0,0,1.0,0.5453349474995434,0.09930953966329495
