model_family,tau,nonlinear_layers,hidden_dim,alpha,lambda,validation_loss,family,initial_fitted_variance,architecture_lambda_zero_fitted_variance,max_lambda_zero_fitted_variance,achieved_r,valid_complexity_reference
dnn,0.05,2,4,0.5,0.8145479666433055,0.0900298973384605,dnn,3.234390565706041e-14,2.447398950167212e-10,0.7851186394691467,4.119620147972738e-14,True
dnn,0.05,2,2,0.5,0.900492287060531,0.0900298974626368,dnn,6.066216105826694e-12,1.6458682239317568e-07,0.7851186394691467,7.726496099912148e-12,True
dnn,0.05,2,8,0.0,0.9955047366910889,0.0900298998964932,dnn,3.7317704807381114e-13,1.0007839001957564e-08,0.7851186394691467,4.753129391070534e-13,True
dnn,0.05,2,8,0.0,0.4462072918927006,0.0900308475794371,dnn,9.491105817938106e-11,1.0007839001957564e-08,0.7851186394691467,1.2088753649200662e-10,True
dnn,0.05,2,8,0.0,0.7368062997280775,0.0900390773126532,dnn,4.821117897263472e-12,1.0007839001957564e-08,0.7851186394691467,6.1406234101425e-12,True
dnn,0.05,2,2,0.0,0.2,0.0900425887217223,dnn,1.7374405247849722e-09,1.5683493614915278e-08,0.7851186394691467,2.2129655792654882e-09,True
dnn,0.05,2,2,0.0,2.714417616594908,0.090044260333985,dnn,1.4210854715202004e-14,1.5683493614915278e-08,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,2,0.0,3.667470807015676,0.090044260333985,dnn,0.0,1.5683493614915278e-08,0.7851186394691467,0.0,True
dnn,0.05,2,2,0.0,3.000820366267417,0.090044260333985,dnn,0.0,1.5683493614915278e-08,0.7851186394691467,0.0,True
dnn,0.05,2,4,1.0,2.455349570439492,0.090044260333985,dnn,1.4210854715202004e-14,8.723098687823949e-09,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,4,0.0,1.2166621504910964,0.0900442607561846,dnn,1.3699263755719351e-14,1.9324999933623133e-11,0.7851186394691467,1.744865433965754e-14,True
dnn,0.05,2,8,0.5,0.4036206056789731,0.0900544015938903,dnn,1.0760228263961835e-09,1.2262222526260302e-07,0.7851186394691467,1.3705225838527154e-09,True
dnn,0.05,2,4,1.0,0.4462072918927006,0.0900564153739019,dnn,4.454926705310669e-11,8.723098687823949e-09,0.7851186394691467,5.6742083060502055e-11,True
dnn,0.05,2,4,0.0,0.3302529174737275,0.0900566532997242,dnn,8.393499111893077e-13,1.9324999933623133e-11,0.7851186394691467,1.0690739832095047e-12,True
dnn,0.05,2,8,0.0,0.6664844128899691,0.0900606229071431,dnn,9.845962586907397e-12,1.0007839001957564e-08,0.7851186394691467,1.2540732179743798e-11,True
dnn,0.05,2,2,0.0,0.4932873707061831,0.0900606267566097,dnn,7.920067379707518e-11,1.5683493614915278e-08,0.7851186394691467,1.0087733218335798e-10,True
dnn,0.05,2,4,0.0,1.3450342120312204,0.0900606272284798,dnn,1.4210854715202004e-14,1.9324999933623133e-11,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,4,0.0,10.000000000000002,0.0900606272533151,dnn,1.4210854715202004e-14,1.9324999933623133e-11,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,2,0.0,1.3450342120312204,0.0900606272533151,dnn,2.330580152964338e-14,1.5683493614915278e-08,0.7851186394691467,2.968443284622749e-14,True
dnn,0.05,2,4,0.5,2.455349570439492,0.0900606273278209,dnn,1.4210854715202004e-14,2.447398950167212e-10,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,4,0.5,0.6664844128899691,0.0900637410082623,dnn,1.442117502888432e-13,2.447398950167212e-10,0.7851186394691467,1.8368147568926793e-13,True
dnn,0.05,2,2,0.5,0.4462072918927006,0.0900637471674089,dnn,7.845229466063586e-10,1.6458682239317568e-07,0.7851186394691467,9.99241270257969e-10,True
dnn,0.05,2,8,0.0,2.0090311238977194,0.0900637477882906,dnn,0.0,1.0007839001957564e-08,0.7851186394691467,0.0,True
